2022-02-06 20:28:44,084 DEBUG     deco_server.py 2022-02-06 20:28:43: функция arg_parser вызвана из функции main
2022-02-06 20:28:44,087 INFO      server.py Запущен сервер, порт для подключений: 7777, адрес с которого принимаются подключения: . Если адрес не указан, принимаются соединения с любых адресов.
2022-02-06 20:30:42,772 INFO      server.py Установлено соедение с ПК ('127.0.0.1', 57624)
2022-02-06 20:30:43,282 DEBUG     server.py Чтение сообщения от клиента : {'action': 'presence', 'time': 1644168642.771715, 'user': {'account_name': 'test1'}}
2022-02-06 20:30:43,291 DEBUG     deco_server.py 2022-02-06 20:30:43: функция process_client_message вызвана из функции main
2022-02-06 20:31:00,130 DEBUG     server.py Чтение сообщения от клиента : {'action': 'message', 'from': 'test1', 'to': 'test2', 'time': 1644168659.7071586, 'mess_text': 'fghfg'}
2022-02-06 20:31:00,133 DEBUG     deco_server.py 2022-02-06 20:31:00: функция process_client_message вызвана из функции main
2022-02-06 20:31:00,134 ERROR     server.py Пользователь test2 не зарегистрирован на сервере, отправка сообщения невозможна.
2022-02-06 20:31:00,137 DEBUG     deco_server.py 2022-02-06 20:31:00: функция process_message вызвана из функции main
2022-02-06 20:31:09,846 DEBUG     server.py Чтение сообщения от клиента : {'action': 'exit', 'time': 1644168669.6055067, 'account_name': 'test1'}
2022-02-06 20:31:09,853 DEBUG     deco_server.py 2022-02-06 20:31:09: функция process_client_message вызвана из функции main
2022-02-06 20:31:42,940 INFO      server.py Установлено соедение с ПК ('127.0.0.1', 50049)
2022-02-06 20:31:43,449 DEBUG     server.py Чтение сообщения от клиента : {'action': 'presence', 'time': 1644168702.940541, 'user': {'account_name': 'test2'}}
2022-02-06 20:31:43,457 DEBUG     deco_server.py 2022-02-06 20:31:43: функция process_client_message вызвана из функции main
2022-02-06 22:46:24,298 DEBUG     deco_server.py 2022-02-06 22:46:24: функция arg_parser вызвана из функции main
2022-02-06 22:46:24,298 INFO      server.py Запущен сервер, порт для подключений: 7777, адрес с которого принимаются подключения: . Если адрес не указан, принимаются соединения с любых адресов.
2022-02-06 22:47:40,942 INFO      server.py Установлено соедение с ПК ('127.0.0.1', 64971)
2022-02-06 22:47:41,470 DEBUG     server.py Чтение сообщения от клиента : {'action': 'presence', 'time': 1644176860.9426217, 'user': {'account_name': 'client1'}}
2022-02-06 22:47:41,483 DEBUG     deco_server.py 2022-02-06 22:47:41: функция process_client_message вызвана из функции main
2022-02-06 22:48:02,932 DEBUG     server.py Чтение сообщения от клиента : {'action': 'message', 'from': 'client1', 'to': 'ghghg', 'time': 1644176882.6805987, 'mess_text': 'ghg'}
2022-02-06 22:48:02,937 DEBUG     deco_server.py 2022-02-06 22:48:02: функция process_client_message вызвана из функции main
2022-02-06 22:48:02,938 ERROR     server.py Пользователь ghghg не зарегистрирован на сервере, отправка сообщения невозможна.
2022-02-06 22:48:02,941 DEBUG     deco_server.py 2022-02-06 22:48:02: функция process_message вызвана из функции main
2022-02-06 22:48:36,163 DEBUG     server.py Чтение сообщения от клиента : {'action': 'message', 'from': 'client1', 'to': 'client2', 'time': 1644176915.6624687, 'mess_text': 'fjhd'}
2022-02-06 22:48:36,167 DEBUG     deco_server.py 2022-02-06 22:48:36: функция process_client_message вызвана из функции main
2022-02-06 22:48:36,168 ERROR     server.py Пользователь client2 не зарегистрирован на сервере, отправка сообщения невозможна.
2022-02-06 22:48:36,172 DEBUG     deco_server.py 2022-02-06 22:48:36: функция process_message вызвана из функции main
2022-02-07 17:30:06,943 DEBUG     deco_server.py 2022-02-07 17:30:06: функция arg_parser вызвана из функции main
2022-02-07 17:30:06,952 INFO      server.py Запущен сервер, порт для подключений: 7777, адрес с которого принимаются подключения: . Если адрес не указан, принимаются соединения с любых адресов.
